Keyword,Sentence,Similarity
stark,du är positiv med en vilja att bidra ansvarstagande med en stark drivkraft mot resultat,0.87601876
stark,vår framgång präglas av en stark viljan att jaga vår fulla potential,0.8618527
stark,som person är du engagerad och har en stark drivkraft och vilja att prestera,0.8609059
drivkraft,en stark egen drivkraft och resultatfokus,0.925833
drivkraft,du behöver även ha en stor egen drivkraft,0.87461305
drivkraft,det är vikigt för oss att du har stark egen drivkraft,0.86141324
chef,kanslichef värdkommunen kommer att vara närmaste chef,0.83897394
chef,din närmaste arbetsgrupp har medarbetare och din närmaste chef är,0.82531905
chef,chefen leder infrastruktur och blir din närmaste chef,0.8134325
analys,du har vana av rapportering visualisering av data samt analys,0.88264805
analys,du arbetar med utveckling av rapporter samt förvaltning och analys av data,0.87145853
analys,du har stor vana av rapportering visualisering av data samt analys,0.86728853
analytisk,som person har du en god analytisk förmåga,0.9736147
analytisk,som person är du kommunikativ och har en god analytisk förmåga,0.96378726
analytisk,du är kommunikativ som person med en god analytisk förmåga,0.96378726
driven,vi söker dig som är driven engagerad och framåt som person,0.9536526
driven,vi söker dig som är nyfiken positiv driven och engagerad,0.9522549
driven,till den här rollen söker vi en kommunikativ och driven person,0.9459608
individer,du kommunicerar tydligt och effektivt och kan arbeta med olika individer i ett team,0.8090548
individer,inom teamet utbyter vi erfarenheter och kompetenser för att både växa som team och som individer,0.80061245
individer,vårt team består av olika individer med ett gemensammt intresse för teknik och säkerhet,0.79147714
beslut,är drivande och bra på att ta egna initiativ och att fatta egna beslut,0.94835496
beslut,du är van att ta eget ansvar och vågar fatta egna beslut,0.93247485
beslut,du är en teamorienterad person som även kan fatta egna beslut och ta egna initiativ,0.93146026
kompetent,vill du bli en del av ett kompetent sammansvetsat team,0.86946523
kompetent,du kommer att bli del av ett kompetent och engagerat team,0.8673014
kompetent,du kommer att vara en del av ett socialt och kompetent team som arbetar tätt ihop,0.86705893
självständig,vill du arbeta med en ansvarstagande och självständig roll,0.8909058
självständig,vill du arbeta en självständig och ansvarstagande roll,0.8909058
självständig,har du kunskap inom teknisk support och vill arbeta en självständig och ansvarstagande roll,0.87303823
